region,keyword,id,name,employer,published_at,url,salary_from,salary_to,currency
Санкт-Петербург,bi analyst,124600601,Продуктовый аналитик данных,VK,2025-08-28T16:44:05+0300,https://hh.ru/vacancy/124600601,,,
Санкт-Петербург,bi analyst,124584713,Project manager (отдел BI),LuckyGroup,2025-08-28T11:26:55+0300,https://hh.ru/vacancy/124584713,,,
Санкт-Петербург,bi analyst,124284067,Business Analyst (CFO-1),Genesis Group AG,2025-08-26T14:46:09+0300,https://hh.ru/vacancy/124284067,,,
Санкт-Петербург,bi analyst,124424770,Аналитик данных,T.Team,2025-08-25T10:52:30+0300,https://hh.ru/vacancy/124424770,92000.0,105000.0,RUR
Санкт-Петербург,bi analyst,124602620,Аналитик больших данных,"Лента, федеральная розничная сеть",2025-08-28T16:41:22+0300,https://hh.ru/vacancy/124602620,,,
Санкт-Петербург,bi analyst,124553188,Бизнес-аналитик BI/RPA,Первый Бит,2025-08-27T15:16:56+0300,https://hh.ru/vacancy/124553188,,,
Санкт-Петербург,bi analyst,123975245,BI-аналитик,Софтвайс,2025-08-27T16:07:55+0300,https://hh.ru/vacancy/123975245,,,
Санкт-Петербург,bi analyst,124588027,Бизнес-аналитик,Сеть логопедических центров Разноцветные цыплята,2025-08-28T12:18:30+0300,https://hh.ru/vacancy/124588027,,150000.0,RUR
Санкт-Петербург,bi analyst,122191171,Business Analyst,BI Consult,2025-08-27T15:11:04+0300,https://hh.ru/vacancy/122191171,,,
Санкт-Петербург,bi analyst,124310610,Аналитик,Академия профессионального коучинга и психологии 5 Prism,2025-08-27T09:59:10+0300,https://hh.ru/vacancy/124310610,60000.0,60000.0,RUR
Санкт-Петербург,bi analyst,123961841,Бизнес-аналитик,ГАРВИН (ГК ГаражТулс),2025-08-26T17:09:17+0300,https://hh.ru/vacancy/123961841,,,
Санкт-Петербург,bi analyst,124590796,Младший аналитик,Хорошей Дороги,2025-08-28T13:07:34+0300,https://hh.ru/vacancy/124590796,60000.0,,RUR
Санкт-Петербург,bi analyst,123960340,Аналитик данных,К2 ТУЛ,2025-08-27T14:21:17+0300,https://hh.ru/vacancy/123960340,,,
Санкт-Петербург,bi analyst,119679158,Product Analyst,НаПоправку,2025-08-25T14:26:15+0300,https://hh.ru/vacancy/119679158,,,
Санкт-Петербург,bi analyst,122156813,Аналитик,"Петрович, Строительный Торговый Дом",2025-08-25T11:04:54+0300,https://hh.ru/vacancy/122156813,,,
Санкт-Петербург,bi analyst,124548785,Team Lead BI аналитиков,LuckyGroup,2025-08-27T14:14:17+0300,https://hh.ru/vacancy/124548785,,,
Санкт-Петербург,bi analyst,124563260,Аналитик (отчетность отдела закупок),Крупная FMCG компания,2025-08-27T19:10:22+0300,https://hh.ru/vacancy/124563260,,,
Санкт-Петербург,bi analyst,123528263,Специалист по рыночным исследованиям / Маркетинговый аналитик (Market Research Specialist / Analyst),Профессиональные Комплексные Решения,2025-08-28T15:09:41+0300,https://hh.ru/vacancy/123528263,90000.0,160000.0,RUR
Санкт-Петербург,bi analyst,123262071,Аналитик данных ( Fine BI ),ПЕНОПЛЭКС,2025-08-25T11:19:12+0300,https://hh.ru/vacancy/123262071,,,
Санкт-Петербург,bi analyst,121154963,Аналитик,ПМЗ,2025-08-28T09:41:44+0300,https://hh.ru/vacancy/121154963,130000.0,,RUR
Санкт-Петербург,bi analyst,119554959,Ведущий специалист отдела оптимизации бизнес-процессов (BI-аналитик),ГСП-Комплектация,2025-08-25T10:22:52+0300,https://hh.ru/vacancy/119554959,,,
Санкт-Петербург,bi analyst,123671405,Продуктовый аналитик в Дзен,VK,2025-08-28T20:01:51+0300,https://hh.ru/vacancy/123671405,,,
Санкт-Петербург,bi analyst,124589954,Системный аналитик DWH,BI Consult,2025-08-28T12:52:50+0300,https://hh.ru/vacancy/124589954,,,
Санкт-Петербург,bi analyst,124486161,Практикант в Отдел Аналитики,Nikoliers,2025-08-26T11:31:47+0300,https://hh.ru/vacancy/124486161,,,
Санкт-Петербург,bi analyst,121543489,Продуктовый аналитик (MedTech),НаПоправку,2025-08-25T14:26:08+0300,https://hh.ru/vacancy/121543489,,,
Санкт-Петербург,bi analyst,124385763,Помощник аналитика / Младший специалист по данным и CRM (Битрикс24),Геодезическое Сопровождение Строительства,2025-08-22T19:18:50+0300,https://hh.ru/vacancy/124385763,60000.0,120000.0,RUR
Санкт-Петербург,bi analyst,124004984,Бизнес-аналитик (внедрение BI отчетности),"ЭТМ, компания",2025-08-20T15:34:28+0300,https://hh.ru/vacancy/124004984,,,
Санкт-Петербург,bi analyst,124460399,Бизнес-аналитик,RED SOLUTION,2025-08-25T18:14:50+0300,https://hh.ru/vacancy/124460399,120000.0,175000.0,RUR
Санкт-Петербург,bi analyst,124603295,Финансовый аналитик,Study Step by Step,2025-08-28T16:54:50+0300,https://hh.ru/vacancy/124603295,,,
Санкт-Петербург,bi analyst,124104935,Финансовый аналитик,Lindaily,2025-08-26T09:48:15+0300,https://hh.ru/vacancy/124104935,,,
Санкт-Петербург,bi analyst,123365016,Бизнес-аналитик,Вальд,2025-08-25T17:18:19+0300,https://hh.ru/vacancy/123365016,150000.0,,RUR
Санкт-Петербург,bi analyst,123438764,Руководитель отдела аналитики,Вальд,2025-08-26T10:01:11+0300,https://hh.ru/vacancy/123438764,250000.0,,RUR
Санкт-Петербург,bi analyst,122997634,Бизнес-аналитик,Джи Си консалтинг,2025-08-25T13:28:27+0300,https://hh.ru/vacancy/122997634,150000.0,,RUR
Санкт-Петербург,bi analyst,124129267,Data analyst / Аналитик данных (стажер),Aston,2025-08-16T11:00:12+0300,https://hh.ru/vacancy/124129267,,,
